"Veľkosť","Größe"
"Farba","Farbe"
"Biela","Weiß"
"Čierna","Schwarz"
"Antracit","Antrazit"
"Bronzová","Bronze"
"Zlatá","Gold"
"Bez úpravy","Nicht beschichtet"
"Výška","Höhe"
"Dĺžka","Länge"
"Šírka","Breite"
"Rektifikácia","Angleichung"
"Bez rektifikácie","Ohne Begradigung"
"So zapustenou rektifikáciou","Mit Begradigung"
"S priznanou rektifikáciou","Mit eingelassener Begradigung"
