"Veľkosť","Dimensione"
"Farba","Colore"
"Biela","Bianco"
"Čierna","Nero"
"Antracit","Antracite"
"Bronzová","Bronzo"
"Zlatá","Oro"
"Bez úpravy","Grezzo"
"Výška","Altezza"
"Dĺžka","Lunghezza"
"Šírka","Larghezza"
"Rektifikácia","Gambe di rettifica"
"Bez rektifikácie","Senza rettifica"
"So zapustenou rektifikáciou","Con rettifica incassata"
"S priznanou rektifikáciou","Con rettifica"
