"Veľkosť","Velikost"
"Farba","Barva"
"Biela","Bíla"
"Čierna","Černá"
"Antracit","Antracit"
"Bronzová","Bronzová"
"Zlatá","Zlatá"
"Bez úpravy","Bez úpravy"
"Výška","Výška"
"Dĺžka","Délka"
"Šírka","Šířka"
"Rektifikácia","Rektifikace"
"Bez rektifikácie","Bez rektifikace"
"So zapustenou rektifikáciou","Se zapuštěnou rektifikací"
"S priznanou rektifikáciou","S přiznanou rektifikací"
